doc_id,title,arxiv_id,publication_year,author_count,research_tasks,methods,datasets,metrics,tfidf_keyphrases,application_domains,sustainability_points,system_names,confidence
20,TerminalWorld: Benchmarking Agents on Real-World Terminal Tasks,2605.22535,2026,11,,benchmarking,,,terminal; terminalworld; engine; real-world; authentic; benchmarking; scalable; agents,software,,,0.4
21,A Subjective Logic-based method for runtime confidence updates in safety arguments,2605.22530,2026,4,,Bayesian methods,,,confidence; safety; spi; violations; runtime; assurance; updates.; evidence,,safety/robustness,ML-; SPI,0.48
22,Meta-Learning for Rapid Adaptation in Reference Tracking of Uncertain Nonlinear Systems,2605.22513,2026,5,,,,,target; meta-learning; the; control; nonlinear; phase; data; algorithms,,computing efficiency,,0.24
23,Search-E1: Self-Distillation Drives Self-Evolution in Search-Augmented Reasoning,2605.22511,2026,7,reasoning; retrieval,large language models; self-improvement,,,search-augmented; search-e1; machinery; self-distillation; self-evolution; recipe; the; grpo,software,computing efficiency,GRPO; OFSD,0.74
24,Towards Direct Evaluation of Harness Optimizers via Priority Ranking,2605.22505,2026,12,retrieval,,,,optimizers; harness; priority; optimization; ranking; optimizer; ranking.; agent,,computing efficiency; human/social impact,,0.4
25,LACO: Adaptive Latent Communication for Collaborative Driving,2605.22504,2026,3,autonomous agents; reasoning; planning,,,,collaborative; laco; latent; driving; communication; caused; information; introduces,,computing efficiency; safety/robustness,CARLA; CHSA; ILD; LACO; SSKD,0.48
26,Compiling Agentic Workflows into LLM Weights: Near-Frontier Quality at Two Orders of Magnitude Less Cost,2605.22502,2026,4,,large language models,,,nodes; compiling; shown; procedure; weights; has; the; every,software,computing efficiency,ADK; LLM; SDK,0.58
27,KAPPS: A knowledge-based CPPS Architecture for the Circular Factory,2605.22457,2026,10,reasoning; planning; knowledge graphs,,,,manufacturing; kapps; requirements; circular; and; architecture; knowledge; constraint,,human/social impact,CPPS; KAPPS,0.48
28,S2ED: From Story to Executable Descriptions for Consistency-Aware Story Illustration,2605.22448,2026,5,planning,prompting,,,s2ed; story; character; descriptions; executable; narrative; and; affect,,human/social impact,S2ED,0.64
29,Epicure: Navigating the Emergent Geometry of Food Ingredient Embeddings,2605.22391,2026,2,,large language models,,,ingredient; walks; typed; compound; epicure; ingredient-ingredient; graph; edge,science,,LLM-; NPMI,0.48
30,Scaling Observation-aware Planning in Uncertain Domains,2605.22364,2026,4,planning,,,,problem; oop; observability; uncertain; solving; improving; the; achievability,,,OOP; POMDP; POP; SSP,0.38
31,Meta-Soft: Leveraging Composable Meta-Tokens for Context-Preserving KV Cache Compression,2605.22337,2026,6,,large language models; transformers,,,tokens; cache; http; soft; url; input; context; compression.,,computing efficiency,,0.4
32,Evaluation of Pipelines for Data Integration into Knowledge Graphs,2605.22304,2026,2,knowledge graphs,benchmarking,,,pipelines; data; input; choices.; integration; formats; benchmark; the,,,KGI-,0.54
33,Cross-domain benchmarks reveal when coordinated AI agents improve scientific inference from partial evidence,2605.22300,2026,2,,benchmarking,,,scientific; when; auroc; coordinated; emergence; exoplanet; vetting; coordination,science,,AUROC,0.48
34,SciCore-Mol: Augmenting Large Language Models with Pluggable Molecular Cognition Modules,2605.22287,2026,8,reasoning,large language models,,,molecular; scicore-mol; pluggable; module; scientific; reaction; chemical; modules,science,,LLM,0.64
35,Unlocking Proactivity in Task-Oriented Dialogue,2605.22240,2026,10,reinforcement learning,large language models,,,concerns; policy; user; emph; task-oriented; proactive; simulator; the,,human/social impact,GRPO; TOD,0.64
36,"Evaluating Large Language Models as Live Strategic Agents: Provider Performance, Hybrid Decomposition, and Operational Gaps in Timed Risk Play",2605.22238,2026,1,planning,large language models; benchmarking,,,execution; provider; gemini; planning; pooled; timed; victory; and,,computing efficiency; safety/robustness,,0.56
37,SGR-Bench: Benchmarking Search Agents on State-Gated Retrieval,2605.22219,2026,7,retrieval,large language models; benchmarking,,F1,sgr-bench; retrieval; site-specific; state-gated; retrieval.; web; and; specialized,,,CLI; CLI-; LLM; SGR; SGR-,0.66
38,Towards a compositional semantics for quantitative confidence assessment in assurance arguments,2605.22213,2026,4,,,,,confidence; assurance; elements; semantics; argument; gsn; opinions; relations,,human/social impact,GSN; SL-,0.32
39,CLORE: Content-Level Optimization for Reasoning Efficiency,2605.22211,2026,7,reasoning; reinforcement learning,large language models,,accuracy,clore; reasoning; content-level; repetitive; content; illegible; augmentation; correct,,computing efficiency,CLORE; DAPO; DPO; GRPO; R1-,0.76
40,Skill Weaving: Efficient LLM Improvement via Modular Skillpacks,2605.22205,2026,8,,large language models,,,skillweave; multi-domain; skillpacks; improvement; modular; memory; efficient; capacities,,computing efficiency,LLM,0.48
41,LLM-Metrics: Measuring Research Impact Through Large Language Model Memory,2605.22176,2026,3,,large language models,,,recognition; citation; llm-metrics; were; papers; rho; the; memory,,fairness/bias,LLM; LLM-,0.48
42,Measuring Cross-Modal Synergy: A Benchmark for VLM Explainability,2605.22168,2026,3,reasoning,large language models; transformers; benchmarking,,,cross-modal; vlms; visual; explainers; vlm; faithfulness; unimodal; datasets,,,VLM; XAI,0.54
43,"Adapting the Interface, Not the Model: Runtime Harness Adaptation for Deterministic LLM Agents",2605.22166,2026,3,,large language models,,,life-harness; runtime; deterministic; harness; adaptation; bench; model--environment; reusable,software,,LLM,0.48
44,ST-SimDiff: Balancing Spatiotemporal Similarity and Difference for Efficient Video Understanding with MLLMs,2605.22158,2026,4,,large language models,,,tokens; difference; spatio-temporal; points; redundancy; preserve; similarity; video,software,computing efficiency,ST-,0.58
45,IdleSpec: Exploiting Idle Time via Speculative Planning for LLM Agents,2605.22154,2026,7,reasoning; planning,large language models,GAIA,accuracy,idlespec; idle; idle-time; calls; scenarios; time.; time; plan,software,computing efficiency,FRAMES; GAIA; LLM; MLE-,1.0
46,Ratchet: A Minimal Hygiene Recipe for Self-Evolving LLM Agents,2605.22148,2026,7,,large language models,MBPP,pass@k,ratchet; meta-skill; retirement; authoring; recipe; deliver; hygiene; rounds,,human/social impact,A1--A8; LLM; LLM-; MBPP; SWE-,0.74
47,Efficient Agentic Reasoning Through Self-Regulated Simulative Planning,2605.22138,2026,7,reasoning; planning; reinforcement learning,large language models,,accuracy; pass@k,simulative; reasoning; planning; self-regulation; agentic; plan; how; chain-of-thought,,computing efficiency,III; LLM,0.76
48,Perception or Prejudice: Can MLLMs Go Beyond First Impressions of Personality?,2605.22109,2026,11,autonomous agents; reasoning,large language models; benchmarking,,,personality; rate; mllms; prejudice; rating; grounded; big; holistic-grounding,,human/social impact,GPR; MM-OCEAN,0.64
49,ArborKV: Structure-Aware KV Cache Management for Scaling Tree-based LLM Reasoning,2605.22106,2026,6,reasoning; retrieval,large language models,,accuracy,search; arborkv; tot-style; eviction; structure-aware; cache; reuse; reasoning,,computing efficiency,KV-; LLM,0.76
50,ExComm: Exploration-Stage Communication for Error-Resilient Agentic Test-Time Scaling,2605.22102,2026,7,reasoning,,GAIA,,excomm; test-time; agentic; communication; scaling; belief; errors; aime,,computing efficiency,AIME; GAIA,0.62
51,MPDocBench-Parse: Benchmarking Practical Multi-page Document Parsing,2605.22100,2026,11,,benchmarking,,,document; parsing; mpdocbench-parse; multi-page; text; content; continuity; parsing.,,,,0.3
52,Knowledge Graph Re-engineering Along the Ontological Continuum (extended version),2605.22093,2026,3,knowledge graphs,,,,continuum; the; kgs; ontological; automation; modelling; define; practices,,computing efficiency,FCA,0.48
53,A Camera-Cooperative ISAC Framework for Multimodal Non-Cooperative UAVs Sensing,2605.22090,2026,3,alignment,transformers,,accuracy; precision,sensing; isac; communication; multimodal; camera-cooperative; cc-isac; non-cooperative; resource,,computing efficiency,CC-ISAC; ISAC; MMFE; UAV; V2EDA,0.76
54,Enhancing Visual Token Representations for Video Large Language Models via Training-Free Spatial-Temporal Pooling and Gridding,2605.22078,2026,4,,large language models,,,visual; token; video; pooling; gridding; st-gridpool; spatiotemporal; training-free,software,computing efficiency,NSP; PTG; ST-,0.58
55,Active Evidence-Seeking and Diagnostic Reasoning in Large Language Models for Clinical Decision Support,2605.22047,2026,11,reasoning,large language models; benchmarking,,accuracy,diagnostic; clinical; interactive; evidence-seeking; full-context; support.; active; decision,healthcare,,OSCE-,0.76
56,"The Log is the Agent: Event-Sourced Reactive Graphs for Auditable, Forkable Agentic Systems",2605.21997,2026,1,autonomous agents; retrieval,large language models,,,log; the; event; lineage; replay; run; deterministic; any,legal,,LLM-,0.64
57,ECPO: Evidence-Coupled Policy Optimization for Evidence-Certified Candidate Ranking,2605.21993,2026,8,retrieval; alignment,prompting,,,candidate; ecpo; ranking; evidence; policy; cited; evidence-certified; evidence-coupled,,,ECPO; GRPO; JSON-; MAVEN-ERE; NDCG; RAMS; RM-; SFT,0.54
58,Echo: Learning from Experience Data via User-Driven Refinement,2605.21984,2026,18,,,,,echo; experience; user-driven; inherently; today; refinement; the; raw,software,computing efficiency; human/social impact,,0.34
59,Format-Constraint Coupling in Knowledge Graph Construction from Statistical Tables,2605.21974,2026,3,retrieval; knowledge graphs,large language models,,,schema; datasets; format-constraint; matrices; type-ii; graph; statistical; extraction,,,CSV; III; LLM,0.54
60,AI-Enabled Serious Games: Integrating Intelligence and Adaptivity in Training Systems,2605.21962,2026,2,reinforcement learning,large language models,,,serious; ai-enabled; instructional; adaptivity; games.; learner; intelligence; games,healthcare; education,computing efficiency; human/social impact,AI-; DDA; ITS,0.74
61,Planning in the LLM Era: Building for Reliability and Efficiency,2605.21902,2026,4,planning; retrieval,large language models; transformers,,,reflects; planning; generating; time.; growing; llms; towards; limitations,,computing efficiency; safety/robustness,LLM; LLM-,0.64
62,FLUID: From Ephemeral IDs to Multimodal Semantic Codes for Industrial-Scale Livestreaming Recommendation,2605.21832,2026,9,retrieval,,,,fluid; livestreaming; item; cold-start; lucid; room; codes; online,,human/social impact,FLUID; ID-; LUCID,0.48
63,Toward AI VIS Co-Scientists: A General and End-to-End Agent Harness for Solving Complex Data Visualization Tasks,2605.21825,2026,7,,,,,vis; data; co-scientist; visualization; and; autonomously; harness; apps,science,,VIS,0.32
64,Implicit Safety Alignment from Crowd Preferences,2605.21822,2026,2,reinforcement learning; alignment,large language models,,,safety; crowd; preferences; task; downstream; objectives; criteria; reward,,safety/robustness; human/social impact,LLM-; RLHF,0.64
65,Trace2Skill: Verifier-Guided Skill Evolution for Long-Context EDA Agents,2605.21810,2026,2,retrieval,large language models; fine-tuning,,,trace2skill; cvdp; skill; verifier; dense; feedback; and; defeat,,,CVDP; EDA; LLM; RTL; RTL-,0.54
66,What Counts as AI Sycophancy? A Taxonomy and Expert Survey of a Fragmented Construct,2605.21778,2026,8,,large language models,,,sycophancy; behaviors; taxonomy; user; and; has; agree; toward,,human/social impact,LLM,0.48
67,A Causal Argumentation Method for Explainability of Machine Learning Models,2605.21758,2026,3,reasoning,benchmarking,,,causal; why; argumentation; certain; explain; explainability; may; features,,,BAF; XAI,0.54
68,"Who Uses AI? Platforms, Workforce, and AI Exposure",2605.21743,2026,2,,,,,platform; employment; exposure.; workforce; estimates; measure; uses; the,,fairness/bias; human/social impact,,0.24
69,SMDD-Bench: Can LLMs Solve Real-World Small Molecule Drug Design Tasks?,2605.21740,2026,6,reasoning; planning,large language models; benchmarking,,,smdd-bench; molecule; drug; discovery; llm; small; agents; and,science,,GPT5.4; LLM; SMDD; SMDD-,0.64
70,AttuneBench: A Conversation-Based Benchmark for LLM Emotional Intelligence,2605.21739,2026,7,alignment,large language models; benchmarking,,accuracy,emotional; attunebench; emotionally; respond; and; behavior; conversation.; single-turn,,human/social impact,LLM,0.76
71,Latent-space Attacks for Refusal Evasion in Language Models,2605.21706,2026,7,reasoning,large language models,,success rate,evasion; refusal; latent-space; attack; boundary; success; the; direction,,privacy/security; safety/robustness,,0.68
72,The Impact of AI Usage and Informativeness on Skill Development in Logical Reasoning,2605.21695,2026,6,reasoning,,,,development; usage; skill; users; assistance.; informativeness; weaker; logical,,human/social impact,,0.4
73,Investigating Concept Alignment Using Implausible Category Members,2605.21683,2026,3,alignment,,,recall,category; concept; assignments; concepts; members; categories; humans.; implausible,,safety/robustness; human/social impact,,0.52
74,AOP-Wiki EMOD 3.0: Data Model Expansions and Content Evaluation Framework for Using Agentic AI to Improve Integration between AOPs and New Approach Methodologies (NAMs),2605.21645,2026,5,,,,,aop-wiki; aop; aops; nams; and; serve; the; adverse,healthcare,fairness/bias,AI-; AOP; AOP-; EMOD,0.42
75,MindLoom: Composing Thought Modes for Frontier-Level Reasoning Data Synthesis,2605.21630,2026,14,reasoning; retrieval,large language models; fine-tuning,,,thought; mindloom; reasoning; difficulty; frontier-level; problem; modes; synthesis.,,,STEM,0.54
76,The Shape of Testimony: A Scalable Framework for Oral History Archive Comparison,2605.21623,2026,3,,large language models,,,oral; the; archive; free-form; generally; holocaust; interviews; testimonies,,,LLM; USC,0.38
77,TO-Agents: A Multi-Agent AI Pipeline for Preference-Guided Topology Optimization,2605.21622,2026,3,autonomous agents; reasoning,benchmarking,,,topology; solver; to-agents; design.; parameter; designers; trials; pipeline,,computing efficiency; human/social impact,TO-,0.64
78,Benchmarking and Improving Monitors for Out-Of-Distribution Alignment Failure in LLMs,2605.21602,2026,3,alignment,large language models; benchmarking,,recall,ood; guard; failures; monitors; mood; find; alignment; monitoring,,safety/robustness,LLM; MOOD; OOD,0.76
79,Vector Policy Optimization: Training for Diversity Improves Test-Time Search,2605.22817,2026,9,retrieval; reinforcement learning; code generation,large language models,,pass@k,vpo; search; reward; vector; test-time; diversity; the; scalar,software,human/social impact,GRPO; LLM; VPO,0.86
80,The Matching Principle: A Geometric Theory of Loss Functions for Nuisance-Robust Representation Learning,2605.22800,2026,1,alignment,benchmarking,,accuracy,jacobian; range; the; covariance; matched; robustness; closed-form; nuisance,,safety/robustness,CORAL; D1-D7; DPO; IRM; PMH; TDI,0.76
81,Finite-Particle Convergence Rates for Conservative and Non-Conservative Drifting Models,2605.22795,2026,1,,,,,drifting; velocity; the; finite-particle; displacement-based; beta; bounds; conservative,,,KDE,0.22
82,DeltaBox: Scaling Stateful AI Agents with Millisecond-Level Sandbox Checkpoint/Rollback,2605.22781,2026,8,retrieval; reinforcement learning,large language models,,,checkpoint; rollback; sandbox; state; change-based; deltabox; agents; and,,computing efficiency,LLM-; OS-; SWE-,0.64
83,SDPM: Survival Diffusion Probabilistic Model for Continuous-Time Survival Analysis,2605.22776,2026,3,,Bayesian methods,,AUC,survival; sdpm; the; censoring; diffusion; distribution; probabilistic; assumptions,,fairness/bias,AUC; SDPM,0.6
84,MambaGaze: Bidirectional Mamba with Explicit Missing Data Modeling for Cognitive Load Assessment from Eye-Gaze Tracking Data,2605.22775,2026,8,,transformers,,accuracy,mambagaze; load; cognitive; bidirectional; tracking; assessment; real-time; modeling,,safety/robustness; human/social impact,CL-; CLARE; CNN; FPS; NVIDIA; VGG; XMD,0.6
85,CogAdapt: Transferring Clinical ECG Foundation Models to Wearable Cognitive Load Assessment via Lead Adaptation,2605.22774,2026,8,,fine-tuning,,F1,wearable; cogadapt; load; cognitive; ecg; lead; foundation; clinical,healthcare,human/social impact,CL-; CLARE; ECG,0.7
86,Reducing Political Manipulation with Consistency Training,2605.22771,2026,6,reinforcement learning,large language models,,,political; consistency; covert; bias; helpfulness; pct; sentiment; measures,,fairness/bias,PCT,0.64
87,Understanding Data Temporality Impact on Large Language Models Pre-training,2605.22769,2026,5,,large language models; benchmarking,,,shuffled; temporally; pre-training; factual; models; ordered; pre-training.; knowledge,software,,,0.4
88,Cyber-Physical Anomaly Detection in IoT-Enabled Smart Grids Using Machine Learning and Metaheuristic Feature Optimization,2605.22749,2026,3,,,,F1; AUC,feature; extra; smart; cyber-physical; grids; measurements; pmu; trees,,privacy/security,IED; MSU; ORNL; PMU; RBF-SVM; ROC-AUC,0.44
89,Superhuman Safe and Agile Racing through Multi-Agent Reinforcement Learning,2605.22748,2026,4,autonomous agents; reinforcement learning; robotics,prompting,,,multi-agent; interaction.; aerodynamic; collision; racing; superhuman; agents; single-agent,robotics,safety/robustness; human/social impact,,0.66
90,Proxy-Based Approximation of Shapley and Banzhaf Interactions,2605.22738,2026,6,,,,accuracy,proxyshap; banzhaf; estimators; shapley; approximation; proxy; residual; interaction,,computing efficiency; fairness/bias,MSR,0.44
91,The Distillation Game: Adaptive Attacks & Efficient Defenses,2605.22737,2026,4,reasoning,,GSM8K,,adaptive; poe; distillation; defenses; student; students; attacks; defense,education; software,computing efficiency; safety/robustness,GSM8K; MATH,0.72
92,"Post-Training is About States, Not Tokens: A State Distribution View of SFT, RL, and On-Policy Distillation",2605.22731,2026,1,reinforcement learning,large language models; fine-tuning,GSM8K; MMLU; TruthfulQA,,sft; gsm8k; run; post-training; teacher; states; on-policy; supervision,,computing efficiency,GSM8K; MMLU; OPD; SFT,0.78
93,The Value of Covariance Matching in Gaussian DDPMs and the Lanczos Sampler,2605.22723,2026,4,,,,,covariance; reverse; gaussian; lanczos; matching; lgs; the; steps,,,DDPM; LGS; OCM-DDPM,0.22
94,Live Music Diffusion Models: Efficient Fine-Tuning and Post-Training of Interactive Diffusion Music Generators,2605.22717,2026,11,reinforcement learning; alignment,fine-tuning,ARC,,music; diffusion; lmdms; live; generative; interactive; models; block-wise,,computing efficiency,ARC-; SOTA,0.78
95,AnyMo: Geometry-Aware Setup-Agnostic Modeling of Human Motion in the Wild,2605.22715,2026,8,retrieval,large language models; prompting,,accuracy; F1,motion; anymo; wearable; imu; wild.; zero-shot; and; captioning,science,human/social impact,BERT-F1; HAR; IMU; IMU-; LLM; MRR,0.86
96,Abstraction for Offline Goal-Conditioned Reinforcement Learning,2605.22711,2026,5,reinforcement learning,,,,offline; gcrl; goal-conditioned; options; relativised; absolute; abstraction; hierarchy,,,GCRL,0.38
97,Scout-Assisted Planning for Heterogeneous Robot Teams under Partially Known Environments,2605.22693,2026,4,planning,graph neural networks,,,scouting; robot; ground; information; pruning; planning; action; gain-based,robotics,computing efficiency,SAP,0.74
98,Swift Sampling: Selecting Temporal Surprises via Taylor Series,2605.22678,2026,6,,,,accuracy,swift; sampling; frames; moments; surprises; taylor; frame; predicted,,computing efficiency; human/social impact,,0.36
99,Moral Semantics Survive Machine Translation: Cross-Lingual Evidence from Moral Foundations Corpora,2605.22660,2026,1,machine translation; alignment,large language models; fine-tuning,,AUC,moral; translation; cross-lingual; machine; expressions; languages.; polish; slang,social media,computing efficiency,AUC; CKA; LLM-,0.86
100,"More Context, Larger Models, or Moral Knowledge? A Systematic Study of Schwartz Value Detection in Political Texts",2605.22641,2026,2,retrieval,large language models; transformers; retrieval augmented generation; prompting,,F1,context; moral; knowledge; help; larger; and; deberta-v3-base; encoders,,,NLP; RAG,0.66
101,Contractual Skills: A GovernSpec Design Framework for Enterprise AI Agents,2605.22634,2026,1,,,,,skills; contractual; enterprise; contracts; and; tool; governspec; guardrails,,computing efficiency; safety/robustness; human/social impact,YAML,0.32
102,Healthcare LLM Benchmarks Are Only as Good as Their Explicit Assumptions,2605.22612,2026,5,,large language models,,,assumptions; outcome; healthcare; benchmarks; performance.; make; cannot; gap,healthcare,human/social impact,LLM; RCT,0.58
103,Agentic CLEAR: Automating Multi-Level Evaluation of LLM Agents,2605.22608,2026,3,autonomous agents; alignment,large language models,,success rate,agentic; clear; observability; evaluation; agent; and; produces; accessible.,,human/social impact,CLEAR; LLM,0.76
104,Innovations in Cardless Artificial Intelligence Banking: A Comprehensive Framework for Cyber Secure and Fraud Mitigation using Machine Learning Algorithms,2605.22604,2026,1,,,,,banking; cardless; fraud; secure; cards; virtual; financial; landscape,finance,privacy/security,AI-,0.42
105,MoSA: Motion-constrained Stress Adaptation for Mitigating Real-to-Sim Gap in Continuum Dynamics via Learning Residual Anisotropy,2605.22597,2026,8,,,,accuracy,residual; mosa; real-to-sim; dynamics; stress; physical; anisotropy; anisotropy.,science,computing efficiency; safety/robustness,,0.46
106,SceneAligner: 3D-Grounded Floorplan Localization in the Wild,2605.22581,2026,3,,fine-tuning,,,floorplan; localization; floorplans; buildings; density; input; the; methods,software,,,0.4
107,Beyond Temperature: Hyperfitting as a Late-Stage Geometric Expansion,2605.22579,2026,4,,large language models; transformers; fine-tuning,,,hyperfitting; temperature; late-stage; geometric; expansion; phenomenon; the; updates,,,,0.3
108,VGenST-Bench: A Benchmark for Spatio-Temporal Reasoning via Active Video Synthesis,2605.22570,2026,4,autonomous agents; reasoning,large language models; benchmarking,,,spatio-temporal; vgenst-bench; video; reasoning; scenarios.; active; benchmark; fine-grained,,human/social impact,,0.56
109,Measuring Security Without Fooling Ourselves: Why Benchmarking Agents Is Hard,2605.22568,2026,4,,benchmarking,,,security; building; fooling; frameworks.; ourselves; staleness; trustworthy; vulnerabilities,,privacy/security,,0.4
110,Case-Aware Medical Image Classification with Multimodal Knowledge Graphs and Reliability-Guided Refinement,2605.22547,2026,6,reasoning; retrieval; knowledge graphs; alignment,transformers,,,medical; image; knowledge; similar; cases; case-aware; multimodal; adaptively,healthcare; software,safety/robustness,,0.66
111,Dynamic Hypergraph Representation Learning for Multivariate Time Series without Prior Knowledge,2605.22540,2026,4,,transformers,,,hypergraph; series; time; multivariate; the; dynamic; representation; hypergraphs,,,DHACN,0.38
112,Stabilising Explainability Fragility in Cybersecurity AI: The Impact and Mitigation of Multicollinearity in Public Benchmark Datasets,2605.22529,2026,2,,benchmarking,,,explainability; multicollinearity; novel; explanations; fragility; instability; stabilising; attribution,,privacy/security; safety/robustness,CAA-; IDS; LIME; SHAP; SHARP; UNSW-NB15; VIF; XAI,0.48
113,BeLink: Biomedical Entity Linking Meets Generative Re-Ranking,2605.22501,2026,3,retrieval,large language models,,accuracy,bel; linking; generative; belink; instruction-tuning; entity; biomedical; practical,healthcare,,BEL,0.76
114,The Neural Compiler: Program-to-Network Translation for Hybrid Scientific Machine Learning,2605.22498,2026,1,machine translation,large language models,,accuracy; precision,compiled; compiler; modules; equations; pytorch; scientific; physics; differentiable,software; science,,PDE; PINN,0.76
115,Understanding Multimodal Failure in Action-Chunking Behavioral Cloning,2605.22493,2026,6,robotics,,,,regularization; policies; action-chunking; multimodal; modes.; behavioral; the; information,robotics,,,0.4
116,Implicit Regularization of Mini-Batch Training in Graph Neural Networks,2605.22480,2026,4,,graph neural networks,,,mini-batch; rns; graph; training; implicit; loss; full-graph; sampled,,,GNN; RNS; SGD,0.38
117,BioFormer: Rethinking Cross-Subject Generalization via Spectral Structural Alignment in Biomedical Time-Series,2605.22468,2026,6,alignment,,,F1,http; spectral; url; subject; cross-subject; specific; bioformer; bts,healthcare,,BTS; F1-; FBAM,0.6
118,From Correlation to Cause: A Five-Stage Methodology for Feature Analysis in Transformer Language Models,2605.22462,2026,1,,large language models; transformers,,,causal; feature; activation; finds; robustness; circuit; five-stage; ioi,,computing efficiency; safety/robustness,GPT-2; IOI; NLA-; SAE,0.48
119,Steins;Gate Drive: Semantic Safety Arbitration over Structured Futures for Latency-Decoupled LLM Planning,2605.22456,2026,2,planning,large language models,,,futures; safety; horizon; the; latency-decoupled; selected; architecture; second,,computing efficiency; safety/robustness,GPT-5.4; LLM,0.64
120,Making the Discrete Continuous: Synthetic RAW Augmentations for Fine-Grained Evaluation of Person Detection Performance in Low Light,2605.22455,2026,6,,,,,synthetic; low-light; low; samples; the; detection; data; raw,,safety/robustness,RAW,0.32
