doc_id,title,field,extracted_value,evidence,manual_correct,comment
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,sustainability_points,computing efficiency,"Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention. | Delta-rule models subtract the current read before writing a new value, and Kimi Delta Attention (KDA) sharpens forgetting with channel-wise decay. | But the active edit still uses a single scalar gate to control two different things: how much old content to erase on the key side and how much new content to commit on the value side.",1,Supported by title/abstract evidence.
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,system_names,KDA; RULER,"Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention. | Delta-rule models subtract the current read before writing a new value, and Kimi Delta Attention (KDA) sharpens forgetting with channel-wise decay. | But the active edit still uses a single scalar gate to control two different things: how much old content to erase on the key side and how much new content to commit on the value side.",1,Supported by title/abstract evidence.
3,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,research_tasks,autonomous agents; reasoning,"LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems. | Large language model (LLM)-based multi-agent systems increasingly rely on intermediate communication to coordinate complex tasks. | While most existing systems communicate through natural language, recent work shows that latent communication, particularly through transformer key-value (KV) caches, can improve efficiency and preserve richer task-relevant information.",1,Supported by title/abstract evidence.
3,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,methods,large language models; transformers,"LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems. | Large language model (LLM)-based multi-agent systems increasingly rely on intermediate communication to coordinate complex tasks. | While most existing systems communicate through natural language, recent work shows that latent communication, particularly through transformer key-value (KV) caches, can improve efficiency and preserve richer task-relevant information.",1,Supported by title/abstract evidence.
3,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,tfidf_keyphrases,lcguard; sensitive; latent; communication; caches; multi-agent; inputs; learns,"LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems. | Large language model (LLM)-based multi-agent systems increasingly rely on intermediate communication to coordinate complex tasks. | While most existing systems communicate through natural language, recent work shows that latent communication, particularly through transformer key-value (KV) caches, can improve efficiency and preserve richer task-relevant information.",1,Supported by title/abstract evidence.
3,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,sustainability_points,computing efficiency; privacy/security; safety/robustness,"LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems. | Large language model (LLM)-based multi-agent systems increasingly rely on intermediate communication to coordinate complex tasks. | While most existing systems communicate through natural language, recent work shows that latent communication, particularly through transformer key-value (KV) caches, can improve efficiency and preserve richer task-relevant information.",1,Supported by title/abstract evidence.
3,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,system_names,KV-; LLM,"LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems. | Large language model (LLM)-based multi-agent systems increasingly rely on intermediate communication to coordinate complex tasks. | While most existing systems communicate through natural language, recent work shows that latent communication, particularly through transformer key-value (KV) caches, can improve efficiency and preserve richer task-relevant information.",1,Supported by title/abstract evidence.
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,research_tasks,reinforcement learning,"Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals. | The Flexible Job Shop Scheduling Problem (FJSP) is the optimal allocation of a set of jobs to machines. | Two primary challenges persist in FJSP: the unpredictable arrival of future jobs and the combinatorial complexity of the problem, rendering it intractable for conventional mixed-integer linear programming solvers.",1,Supported by title/abstract evidence.
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,methods,benchmarking,"Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals. | The Flexible Job Shop Scheduling Problem (FJSP) is the optimal allocation of a set of jobs to machines. | Two primary challenges persist in FJSP: the unpredictable arrival of future jobs and the combinatorial complexity of the problem, rendering it intractable for conventional mixed-integer linear programming solvers.",1,Supported by title/abstract evidence.
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,tfidf_keyphrases,job; drl; gls; fjsp; the; arrival; arrivals.; dispatching,"Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals. | The Flexible Job Shop Scheduling Problem (FJSP) is the optimal allocation of a set of jobs to machines. | Two primary challenges persist in FJSP: the unpredictable arrival of future jobs and the combinatorial complexity of the problem, rendering it intractable for conventional mixed-integer linear programming solvers.",1,Supported by title/abstract evidence.
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,application_domains,software,"Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals. | The Flexible Job Shop Scheduling Problem (FJSP) is the optimal allocation of a set of jobs to machines. | Two primary challenges persist in FJSP: the unpredictable arrival of future jobs and the combinatorial complexity of the problem, rendering it intractable for conventional mixed-integer linear programming solvers.",0,"False positive: job shop scheduling is manufacturing/optimization, not software."
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,sustainability_points,computing efficiency,"Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals. | The Flexible Job Shop Scheduling Problem (FJSP) is the optimal allocation of a set of jobs to machines. | Two primary challenges persist in FJSP: the unpredictable arrival of future jobs and the combinatorial complexity of the problem, rendering it intractable for conventional mixed-integer linear programming solvers.",1,Supported by title/abstract evidence.
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,system_names,DRL; FJSP,"Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals. | The Flexible Job Shop Scheduling Problem (FJSP) is the optimal allocation of a set of jobs to machines. | Two primary challenges persist in FJSP: the unpredictable arrival of future jobs and the combinatorial complexity of the problem, rendering it intractable for conventional mixed-integer linear programming solvers.",1,Supported by title/abstract evidence.
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,research_tasks,reasoning; retrieval,"Advancing Mathematics Research with AI-Driven Formal Proof Search. | Large language models (LLMs) increasingly excel at mathematical reasoning, but their unreliability limits their utility in mathematics research. | A mitigation is using LLMs to generate formal proofs in languages like Lean.",1,Supported by title/abstract evidence.
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,methods,large language models,"Advancing Mathematics Research with AI-Driven Formal Proof Search. | Large language models (LLMs) increasingly excel at mathematical reasoning, but their unreliability limits their utility in mathematics research. | A mitigation is using LLMs to generate formal proofs in languages like Lean.",1,Supported by title/abstract evidence.
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,tfidf_keyphrases,formal; erd; mathematics; proved; problems.; proof; open; research.,"Advancing Mathematics Research with AI-Driven Formal Proof Search. | Large language models (LLMs) increasingly excel at mathematical reasoning, but their unreliability limits their utility in mathematics research. | A mitigation is using LLMs to generate formal proofs in languages like Lean.",1,Supported by title/abstract evidence.
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,application_domains,science,"Advancing Mathematics Research with AI-Driven Formal Proof Search. | Large language models (LLMs) increasingly excel at mathematical reasoning, but their unreliability limits their utility in mathematics research. | A mitigation is using LLMs to generate formal proofs in languages like Lean.",1,Supported by title/abstract evidence.
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,sustainability_points,computing efficiency,"Advancing Mathematics Research with AI-Driven Formal Proof Search. | Large language models (LLMs) increasingly excel at mathematical reasoning, but their unreliability limits their utility in mathematics research. | A mitigation is using LLMs to generate formal proofs in languages like Lean.",1,Supported by title/abstract evidence.
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,system_names,AI-; LLM-; OEIS,"Advancing Mathematics Research with AI-Driven Formal Proof Search. | Large language models (LLMs) increasingly excel at mathematical reasoning, but their unreliability limits their utility in mathematics research. | A mitigation is using LLMs to generate formal proofs in languages like Lean.",0,Partly invalid: AI-/LLM- are truncated names.
6,Towards a General Intelligence and Interface for Wearable Health Data,research_tasks,retrieval,"Towards a General Intelligence and Interface for Wearable Health Data. | While ubiquitous wearable sensors capture a wealth of behavioral and physiological information, effectively transforming these signals into personalized health insights is challenging. | Specifically, converting low-level sensor data into representations capable of characterizing higher-level states is difficult due to high phenotypic diversity and variation in individual baseline health, physiology, and lifestyle factors.",0,False positive: wearable health modeling is not a retrieval task.
6,Towards a General Intelligence and Interface for Wearable Health Data,methods,large language models; prompting,"Towards a General Intelligence and Interface for Wearable Health Data. | While ubiquitous wearable sensors capture a wealth of behavioral and physiological information, effectively transforming these signals into personalized health insights is challenging. | Specifically, converting low-level sensor data into representations capable of characterizing higher-level states is difficult due to high phenotypic diversity and variation in individual baseline health, physiology, and lifestyle factors.",0,False positive: the abstract does not clearly state LLM/prompting.
6,Towards a General Intelligence and Interface for Wearable Health Data,tfidf_keyphrases,health; wearable; and; cohort; factors.; lifestyle; data; improvements,"Towards a General Intelligence and Interface for Wearable Health Data. | While ubiquitous wearable sensors capture a wealth of behavioral and physiological information, effectively transforming these signals into personalized health insights is challenging. | Specifically, converting low-level sensor data into representations capable of characterizing higher-level states is difficult due to high phenotypic diversity and variation in individual baseline health, physiology, and lifestyle factors.",1,Supported by title/abstract evidence.
6,Towards a General Intelligence and Interface for Wearable Health Data,sustainability_points,computing efficiency; safety/robustness,"Towards a General Intelligence and Interface for Wearable Health Data. | While ubiquitous wearable sensors capture a wealth of behavioral and physiological information, effectively transforming these signals into personalized health insights is challenging. | Specifically, converting low-level sensor data into representations capable of characterizing higher-level states is difficult due to high phenotypic diversity and variation in individual baseline health, physiology, and lifestyle factors.",1,Supported by title/abstract evidence.
6,Towards a General Intelligence and Interface for Wearable Health Data,system_names,LLM,"Towards a General Intelligence and Interface for Wearable Health Data. | While ubiquitous wearable sensors capture a wealth of behavioral and physiological information, effectively transforming these signals into personalized health insights is challenging. | Specifically, converting low-level sensor data into representations capable of characterizing higher-level states is difficult due to high phenotypic diversity and variation in individual baseline health, physiology, and lifestyle factors.",0,False positive: LLM is not clearly a system name in the abstract.
7,HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools,methods,large language models,"HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools. | Every Python function deployed as an LLM tool must today exist in two forms: an HTTP endpoint for human-facing clients and CI pipelines, and an MCP tool registration for agent runtimes such as Claude and Cursor. | These representations share business logic yet diverge in all the surrounding machinery (routing, validation, serialisation, streaming, and schema maintenance), and they drift apart as the underlying code evolves.",1,Supported by title/abstract evidence.
7,HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools,tfidf_keyphrases,harnessapi; mcp; streaming; http; tool; clients; endpoint; fastapi,"HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools. | Every Python function deployed as an LLM tool must today exist in two forms: an HTTP endpoint for human-facing clients and CI pipelines, and an MCP tool registration for agent runtimes such as Claude and Cursor. | These representations share business logic yet diverge in all the surrounding machinery (routing, validation, serialisation, streaming, and schema maintenance), and they drift apart as the underlying code evolves.",1,Supported by title/abstract evidence.
7,HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools,application_domains,software,"HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools. | Every Python function deployed as an LLM tool must today exist in two forms: an HTTP endpoint for human-facing clients and CI pipelines, and an MCP tool registration for agent runtimes such as Claude and Cursor. | These representations share business logic yet diverge in all the surrounding machinery (routing, validation, serialisation, streaming, and schema maintenance), and they drift apart as the underlying code evolves.",1,Supported by title/abstract evidence.
7,HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools,sustainability_points,human/social impact,"HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools. | Every Python function deployed as an LLM tool must today exist in two forms: an HTTP endpoint for human-facing clients and CI pipelines, and an MCP tool registration for agent runtimes such as Claude and Cursor. | These representations share business logic yet diverge in all the surrounding machinery (routing, validation, serialisation, streaming, and schema maintenance), and they drift apart as the underlying code evolves.",1,Supported by title/abstract evidence.
7,HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools,system_names,HTTP; JSON-; LLM; MCP; SSE-,"HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools. | Every Python function deployed as an LLM tool must today exist in two forms: an HTTP endpoint for human-facing clients and CI pipelines, and an MCP tool registration for agent runtimes such as Claude and Cursor. | These representations share business logic yet diverge in all the surrounding machinery (routing, validation, serialisation, streaming, and schema maintenance), and they drift apart as the underlying code evolves.",1,Supported by title/abstract evidence.
8,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,research_tasks,autonomous agents,"Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models. | We investigate whether acoustic emotion recognition models can serve as proxies for the Pathos dimension in political speech analysis, as operationalised by the TRUST multi-agent large language model (LLM) pipeline. | Using a Bundestag plenary speech by Felix Banaszak (51 segments, 245 s) as a case study, we compare three analysis modalities: (1) emotion2vec_plus_large, an acoustic speech emotion recognition (SER) model whose continuous Arousal and Valence values are derived via post-hoc Russell Circumplex projection; (2) Gemini 2.5 Flash, an LLM analysing the full speech audio together with its transcript in an open-ended, context-aware fashion; and (3) TRUST-Pathos scores from a three-advocate LLM supervisor ensemble.",0,"False positive: a multi-agent pipeline is used, but the paper is not about autonomous agents."
8,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,methods,large language models; benchmarking,"Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models. | We investigate whether acoustic emotion recognition models can serve as proxies for the Pathos dimension in political speech analysis, as operationalised by the TRUST multi-agent large language model (LLM) pipeline. | Using a Bundestag plenary speech by Felix Banaszak (51 segments, 245 s) as a case study, we compare three analysis modalities: (1) emotion2vec_plus_large, an acoustic speech emotion recognition (SER) model whose continuous Arousal and Valence values are derived via post-hoc Russell Circumplex projection; (2) Gemini 2.5 Flash, an LLM analysing the full speech audio together with its transcript in an open-ended, context-aware fashion; and (3) TRUST-Pathos scores from a three-advocate LLM supervisor ensemble.",1,Supported by title/abstract evidence.
8,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,tfidf_keyphrases,speech; acoustic; emotion; valence; analysis; gemini; political; recognition,"Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models. | We investigate whether acoustic emotion recognition models can serve as proxies for the Pathos dimension in political speech analysis, as operationalised by the TRUST multi-agent large language model (LLM) pipeline. | Using a Bundestag plenary speech by Felix Banaszak (51 segments, 245 s) as a case study, we compare three analysis modalities: (1) emotion2vec_plus_large, an acoustic speech emotion recognition (SER) model whose continuous Arousal and Valence values are derived via post-hoc Russell Circumplex projection; (2) Gemini 2.5 Flash, an LLM analysing the full speech audio together with its transcript in an open-ended, context-aware fashion; and (3) TRUST-Pathos scores from a three-advocate LLM supervisor ensemble.",1,Supported by title/abstract evidence.
8,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,sustainability_points,fairness/bias; human/social impact,"Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models. | We investigate whether acoustic emotion recognition models can serve as proxies for the Pathos dimension in political speech analysis, as operationalised by the TRUST multi-agent large language model (LLM) pipeline. | Using a Bundestag plenary speech by Felix Banaszak (51 segments, 245 s) as a case study, we compare three analysis modalities: (1) emotion2vec_plus_large, an acoustic speech emotion recognition (SER) model whose continuous Arousal and Valence values are derived via post-hoc Russell Circumplex projection; (2) Gemini 2.5 Flash, an LLM analysing the full speech audio together with its transcript in an open-ended, context-aware fashion; and (3) TRUST-Pathos scores from a three-advocate LLM supervisor ensemble.",0,"Partly invalid: human/social impact is supported, but fairness/bias is not directly supported."
8,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,system_names,EMO-DB; LLM; LLM-; SER; TRUST; TRUST-,"Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models. | We investigate whether acoustic emotion recognition models can serve as proxies for the Pathos dimension in political speech analysis, as operationalised by the TRUST multi-agent large language model (LLM) pipeline. | Using a Bundestag plenary speech by Felix Banaszak (51 segments, 245 s) as a case study, we compare three analysis modalities: (1) emotion2vec_plus_large, an acoustic speech emotion recognition (SER) model whose continuous Arousal and Valence values are derived via post-hoc Russell Circumplex projection; (2) Gemini 2.5 Flash, an LLM analysing the full speech audio together with its transcript in an open-ended, context-aware fashion; and (3) TRUST-Pathos scores from a three-advocate LLM supervisor ensemble.",1,Supported by title/abstract evidence.
9,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,research_tasks,alignment,"Can AI Make Conflicts Worse? | An Alignment Failure in LLM Deployment Across Conflict Contexts. | AI models are already deployed in societies affected by armed conflict, and journalists, humanitarian workers, governments and ordinary citizens rely on them for information or for their work processes.",1,Supported by title/abstract evidence.
9,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,methods,large language models,"Can AI Make Conflicts Worse? | An Alignment Failure in LLM Deployment Across Conflict Contexts. | AI models are already deployed in societies affected by armed conflict, and journalists, humanitarian workers, governments and ordinary citizens rely on them for information or for their work processes.",1,Supported by title/abstract evidence.
9,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,tfidf_keyphrases,conflict; humanitarian; failure; conflicts; nine; already; configurations; outputs,"Can AI Make Conflicts Worse? | An Alignment Failure in LLM Deployment Across Conflict Contexts. | AI models are already deployed in societies affected by armed conflict, and journalists, humanitarian workers, governments and ordinary citizens rely on them for information or for their work processes.",1,Supported by title/abstract evidence.
9,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,sustainability_points,safety/robustness,"Can AI Make Conflicts Worse? | An Alignment Failure in LLM Deployment Across Conflict Contexts. | AI models are already deployed in societies affected by armed conflict, and journalists, humanitarian workers, governments and ordinary citizens rely on them for information or for their work processes.",1,Supported by title/abstract evidence.
9,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,system_names,LLM,"Can AI Make Conflicts Worse? | An Alignment Failure in LLM Deployment Across Conflict Contexts. | AI models are already deployed in societies affected by armed conflict, and journalists, humanitarian workers, governments and ordinary citizens rely on them for information or for their work processes.",1,Supported by title/abstract evidence.
10,Parametric Modular Answer Set Programs Made Declarative,tfidf_keyphrases,modular; asp; formalism; programs; answer; parametric; set; asp.,"Parametric Modular Answer Set Programs Made Declarative. | In this paper, we explore the concept of modularity in first-order answer set programming (ASP). | We introduce a new formalism called parametric modular logic programs, which allows defining subprograms with parameters and intensionality statements.",1,Supported by title/abstract evidence.
10,Parametric Modular Answer Set Programs Made Declarative,application_domains,software,"Parametric Modular Answer Set Programs Made Declarative. | In this paper, we explore the concept of modularity in first-order answer set programming (ASP). | We introduce a new formalism called parametric modular logic programs, which allows defining subprograms with parameters and intensionality statements.",1,Supported by title/abstract evidence.
10,Parametric Modular Answer Set Programs Made Declarative,system_names,ASP,"Parametric Modular Answer Set Programs Made Declarative. | In this paper, we explore the concept of modularity in first-order answer set programming (ASP). | We introduce a new formalism called parametric modular logic programs, which allows defining subprograms with parameters and intensionality statements.",1,Supported by title/abstract evidence.
11,AMEL: Accumulated Message Effects on LLM Judgments,methods,large language models,"AMEL: Accumulated Message Effects on LLM Judgments. | Large language models are routinely used as automated evaluators: to review code, moderate content, or score outputs, often with many items passing through one conversation. | We ask whether the polarity of prior conversation history biases subsequent judgments, an effect we call the accumulated message effect on LLM judgments (AMEL).",1,Supported by title/abstract evidence.
11,AMEL: Accumulated Message Effects on LLM Judgments,tfidf_keyphrases,history; the; accumulated; amel; items; message; polarity; judgments,"AMEL: Accumulated Message Effects on LLM Judgments. | Large language models are routinely used as automated evaluators: to review code, moderate content, or score outputs, often with many items passing through one conversation. | We ask whether the polarity of prior conversation history biases subsequent judgments, an effect we call the accumulated message effect on LLM judgments (AMEL).",1,Supported by title/abstract evidence.
11,AMEL: Accumulated Message Effects on LLM Judgments,application_domains,software,"AMEL: Accumulated Message Effects on LLM Judgments. | Large language models are routinely used as automated evaluators: to review code, moderate content, or score outputs, often with many items passing through one conversation. | We ask whether the polarity of prior conversation history biases subsequent judgments, an effect we call the accumulated message effect on LLM judgments (AMEL).",0,False positive: automated evaluation is not the software application domain here.
11,AMEL: Accumulated Message Effects on LLM Judgments,system_names,AMEL; LLM,"AMEL: Accumulated Message Effects on LLM Judgments. | Large language models are routinely used as automated evaluators: to review code, moderate content, or score outputs, often with many items passing through one conversation. | We ask whether the polarity of prior conversation history biases subsequent judgments, an effect we call the accumulated message effect on LLM judgments (AMEL).",1,Supported by title/abstract evidence.
12,Beyond the Org Chart: AI and the Transformation of Invisible Work,tfidf_keyphrases,professional; changing; work; and; company; individuals; informal; invisible,"Beyond the Org Chart: AI and the Transformation of Invisible Work. | An increasing number of news and research articles report that AI adoption is allowing professionals to blur and extend the boundaries of their corporate roles. | With the goal of understanding how work processes might be changing in an AI-forward company, we interviewed 24 product-focused individuals at a large technology firm about how AI has impacted their own work, their work within their product team, and their professional interactions.",1,Supported by title/abstract evidence.
12,Beyond the Org Chart: AI and the Transformation of Invisible Work,system_names,AI-,"Beyond the Org Chart: AI and the Transformation of Invisible Work. | An increasing number of news and research articles report that AI adoption is allowing professionals to blur and extend the boundaries of their corporate roles. | With the goal of understanding how work processes might be changing in an AI-forward company, we interviewed 24 product-focused individuals at a large technology firm about how AI has impacted their own work, their work within their product team, and their professional interactions.",0,"False positive: AI- is a truncated token, not a valid system name."
13,Forecasting Scientific Progress with Artificial Intelligence,research_tasks,reasoning,"Forecasting Scientific Progress with Artificial Intelligence. | Artificial intelligence (AI) is increasingly embedded in scientific discovery, yet whether it can anticipate scientific progress remains unclear. | To study this question, we introduce a temporally grounded evaluation framework for forecasting scientific progress under controlled knowledge constraints.",1,Supported by title/abstract evidence.
13,Forecasting Scientific Progress with Artificial Intelligence,methods,benchmarking,"Forecasting Scientific Progress with Artificial Intelligence. | Artificial intelligence (AI) is increasingly embedded in scientific discovery, yet whether it can anticipate scientific progress remains unclear. | To study this question, we introduce a temporally grounded evaluation framework for forecasting scientific progress under controlled knowledge constraints.",1,Supported by title/abstract evidence.
13,Forecasting Scientific Progress with Artificial Intelligence,tfidf_keyphrases,scientific; progress; forecasting; knowledge; prediction.; whether; events; access,"Forecasting Scientific Progress with Artificial Intelligence. | Artificial intelligence (AI) is increasingly embedded in scientific discovery, yet whether it can anticipate scientific progress remains unclear. | To study this question, we introduce a temporally grounded evaluation framework for forecasting scientific progress under controlled knowledge constraints.",1,Supported by title/abstract evidence.
13,Forecasting Scientific Progress with Artificial Intelligence,application_domains,science,"Forecasting Scientific Progress with Artificial Intelligence. | Artificial intelligence (AI) is increasingly embedded in scientific discovery, yet whether it can anticipate scientific progress remains unclear. | To study this question, we introduce a temporally grounded evaluation framework for forecasting scientific progress under controlled knowledge constraints.",1,Supported by title/abstract evidence.
