query,rank,doc_id,score,title,snippet,url,published,relevant,note
reasoning,1,39,0.310386,CLORE: Content-Level Optimization for Reasoning Efficiency,"Reinforcement learning post-training has improved the reasoning ability of large language models, but often produces unnecessarily long, repetitive, or semantically opaque reasoning traces.",https://arxiv.org/abs/2605.22211,21 May 2026,,
reasoning,2,75,0.270452,MindLoom: Composing Thought Modes for Frontier-Level Reasoning Data Synthesis,"Although LLMs have made substantial progress in reasoning, systematically producing frontier-level reasoning data remains difficult.",https://arxiv.org/abs/2605.21630,20 May 2026,,
reasoning,3,47,0.249246,Efficient Agentic Reasoning Through Self-Regulated Simulative Planning,"Without control over the presence, structure, or horizon of planning, these systems dramatically increase reasoning length, yielding inefficient token use without reliable accuracy gains.",https://arxiv.org/abs/2605.22138,21 May 2026,,
reasoning,4,108,0.212147,VGenST-Bench: A Benchmark for Spatio-Temporal Reasoning via Active Video Synthesis,Spatio-temporal reasoning is a core capability for Multimodal Large Language Models (MLLMs) operating in the real world.,https://arxiv.org/abs/2605.22570,21 May 2026,,
reasoning,5,19,0.167143,Think Thrice Before You Speak: Dual knowledge-enhanced Theory-of-Mind Reasoning for Persuasive Agents,"Persuasive dialogue requires reasoning about others' latent mental states, a capability known as Theory of Mind (ToM).",https://arxiv.org/abs/2605.22602,21 May 2026,,
reasoning,6,49,0.157518,ArborKV: Structure-Aware KV Cache Management for Scaling Tree-based LLM Reasoning,Recent progress in LLM reasoning has increasingly shifted from single-pass generation to explicit search over intermediate reasoning states.,https://arxiv.org/abs/2605.22106,21 May 2026,,
reasoning,7,48,0.133971,Perception or Prejudice: Can MLLMs Go Beyond First Impressions of Personality?,"(i) A new task: we formalize Grounded Personality Reasoning (GPR), which requires MLLMs to anchor each Big Five rating in observable evidence through a chain of rating, reasoning, and grounding.",https://arxiv.org/abs/2605.22109,21 May 2026,,
reasoning,8,72,0.128711,The Impact of AI Usage and Informativeness on Skill Development in Logical Reasoning,We examine how both AI usage and informativeness can shape learning in the context of a controlled logical reasoning task with on-demand access to AI assistance.,https://arxiv.org/abs/2605.21695,20 May 2026,,
reasoning,9,50,0.09238,ExComm: Exploration-Stage Communication for Error-Resilient Agentic Test-Time Scaling,"A common failure mode in long-horizon agentic test-time scaling is error propagation, where factual errors or invalid deductions introduced at intermediate steps persist in the agent's belief state and contaminate lat...",https://arxiv.org/abs/2605.22102,21 May 2026,,
reasoning,10,34,0.07977,SciCore-Mol: Augmenting Large Language Models with Pluggable Molecular Cognition Modules,"Large Language Models (LLMs) are central to the one-for-all intelligent paradigm, but they face a fundamental challenge when dealing with heterogeneous scientific data such as molecules: the inherent gap between discr...",https://arxiv.org/abs/2605.22287,21 May 2026,,
alignment,1,78,0.13917,Benchmarking and Improving Monitors for Out-Of-Distribution Alignment Failure in LLMs,Many safety and alignment failures of large language models (LLMs) occur due to out-of-distribution (OOD) situations: unusual prompt or response patterns that are unforeseen by model developers.,https://arxiv.org/abs/2605.21602,20 May 2026,,
alignment,2,9,0.104248,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,We release the first evaluation framework for this domain and propose adding it to alignment evaluation portfolios.,https://arxiv.org/abs/2605.22720,21 May 2026,,
alignment,3,117,0.084947,BioFormer: Rethinking Cross-Subject Generalization via Spectral Structural Alignment in Biomedical Time-Series,"Building on this insight, we propose this http URL its core is a Frequency-Band Alignment Module(FBAM) that generates band-wise modulation factors from the spectral distribution and adaptively adjusts amplitude and ph...",https://arxiv.org/abs/2605.22468,21 May 2026,,
alignment,4,103,0.061197,Agentic CLEAR: Automating Multi-Level Evaluation of LLM Agents,Our analysis shows strong alignment with human-annotated errors and the ability to predict task success rate.,https://arxiv.org/abs/2605.22608,21 May 2026,,
alignment,5,110,0.048517,Case-Aware Medical Image Classification with Multimodal Knowledge Graphs and Reliability-Guided Refinement,"We further introduce a knowledge propagation and injection mechanism, where an image-centric Graph Attention Network propagates knowledge semantics to obtain case-based features, followed by a bidirectional cross-moda...",https://arxiv.org/abs/2605.22547,21 May 2026,,
alignment,6,70,0.046652,AttuneBench: A Conversation-Based Benchmark for LLM Emotional Intelligence,Preference alignment and response-quality judgments are substantially more model-discriminating than emotion-label accuracy.,https://arxiv.org/abs/2605.21739,20 May 2026,,
alignment,7,64,0.045863,Implicit Safety Alignment from Crowd Preferences,"Reinforcement Learning from Human Feedback (RLHF) can reveal implicit objectives such as safety considerations that go beyond task completion. In this work, we focus on the common safety criteria embedded in crowd prefer",https://arxiv.org/abs/2605.21822,20 May 2026,,
alignment,8,99,0.043675,Moral Semantics Survive Machine Translation: Cross-Lingual Evidence from Moral Foundations Corpora,"Using $\sim$50k morally-annotated social media posts from a diverse range of topics, we apply a principled four-method validation pipeline: LaBSE cross-lingual embedding similarity, Centered Kernel Alignment (CKA), LL...",https://arxiv.org/abs/2605.22660,21 May 2026,,
alignment,9,53,0.040718,A Camera-Cooperative ISAC Framework for Multimodal Non-Cooperative UAVs Sensing,"Within this framework, two key modules are developed: (1) a Vision-to-Echo Data Alignment (V2EDA) model that aligns visual and echo-domain features through cross-attention mechanisms, and (2) a Multimodal Fusion-Based...",https://arxiv.org/abs/2605.22090,21 May 2026,,
alignment,10,73,0.040664,Investigating Concept Alignment Using Implausible Category Members,We also demonstrate how these instances of concept misalignment translate into problematic downstream behavior with implications for AI safety.,https://arxiv.org/abs/2605.21683,20 May 2026,,
retrieval,1,37,0.373858,SGR-Bench: Benchmarking Search Agents on State-Gated Retrieval,Yet an important class of specialized retrieval tasks remains undercharacterized.,https://arxiv.org/abs/2605.22219,21 May 2026,,
retrieval,2,95,0.093824,AnyMo: Geometry-Aware Setup-Agnostic Modeling of Human Motion in the Wild,"We evaluate AnyMo on three complementary tasks: zero-shot activity recognition across 14 unseen downstream datasets, cross-modal retrieval, and wearable IMU motion captioning, where it improves average Accuracy/F1/R@2...",https://arxiv.org/abs/2605.22715,21 May 2026,,
retrieval,3,2,0.076756,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,"At 1.3B parameters trained on 100B FineWeb-Edu tokens, Gated DeltaNet-2 achieves the strongest overall results among Mamba-2, Gated DeltaNet, KDA, and Mamba-3 variants across language modeling, commonsense reasoning,...",https://arxiv.org/abs/2605.22791,21 May 2026,,
retrieval,4,110,0.057837,Case-Aware Medical Image Classification with Multimodal Knowledge Graphs and Reliability-Guided Refinement,"To mitigate noisy retrieval, we design a confidence-calibrated decision refinement scheme that estimates the reliability of each retrieved case by jointly considering prediction confidence and sample similarity, adapt...",https://arxiv.org/abs/2605.22547,21 May 2026,,
retrieval,5,59,0.054843,Format-Constraint Coupling in Knowledge Graph Construction from Statistical Tables,"Three standard retrieval modes largely mask construction quality (delta <= 1pp), whereas direct graph access exposes gaps up to +47.6pp (p < 0.0001).",https://arxiv.org/abs/2605.21974,21 May 2026,,
retrieval,6,100,0.050772,"More Context, Larger Models, or Moral Knowledge? A Systematic Study of Schwartz Value Detection in Political Texts","Using the ValuesML/Touch{é} ValueEval format, we compare sentence, window, and full-document inputs; no-RAG and retrieval-augmented settings with a curated moral knowledge base; supervised DeBERTa-v3-base/large encode...",https://arxiv.org/abs/2605.22641,21 May 2026,,
retrieval,7,75,0.04564,MindLoom: Composing Thought Modes for Frontier-Level Reasoning Data Synthesis,"It then trains a retrieval model that matches problem states to compatible thought modes, providing guidance on which reasoning challenges to introduce during synthesis.",https://arxiv.org/abs/2605.21630,20 May 2026,,
multi-agent,1,89,0.24257,Superhuman Safe and Agile Racing through Multi-Agent Reinforcement Learning,Here we show that multi-agent reinforcement learning provides the essential safety scaffolding required for real-world interaction.,https://arxiv.org/abs/2605.22748,21 May 2026,,
multi-agent,2,3,0.185447,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,Large language model (LLM)-based multi-agent systems increasingly rely on intermediate communication to coordinate complex tasks.,https://arxiv.org/abs/2605.22786,21 May 2026,,
multi-agent,3,16,0.094219,Claw AI Lab: An Autonomous Multi-Agent Research Team,"The platform also supports distinct research modes for exploration, multi-agent discussion, and reproduction, making autonomous research substantially more steerable and laboratory-like in practice.",https://arxiv.org/abs/2605.22662,21 May 2026,,
multi-agent,4,77,0.091246,TO-Agents: A Multi-Agent AI Pipeline for Preference-Guided Topology Optimization,"We present TO-Agents, a multi-agent AI framework that connects natural-language design intent with iterative topology optimization.",https://arxiv.org/abs/2605.21622,20 May 2026,,
multi-agent,5,108,0.062201,VGenST-Bench: A Benchmark for Spatio-Temporal Reasoning via Active Video Synthesis,"To construct VGenST-Bench, we propose a multi-agent pipeline incorporating a human quality control stage, ensuring the quality of all generated videos and QA pairs.",https://arxiv.org/abs/2605.22570,21 May 2026,,
multi-agent,6,25,0.053919,LACO: Adaptive Latent Communication for Collaborative Driving,"To address these challenges, we analyze latent communication in collaborative driving under inherent limitations of multi-agent settings.",https://arxiv.org/abs/2605.22504,21 May 2026,,
multi-agent,7,48,0.0491,Perception or Prejudice: Can MLLMs Go Beyond First Impressions of Personality?,"(ii) A new dataset: we release MM-OCEAN (1,104 videos, 5,320 MCQs), produced by a multi-agent pipeline with human verification, with timestamped behavioral observations, evidence-grounded trait analyses, and seven cat...",https://arxiv.org/abs/2605.22109,21 May 2026,,
multi-agent,8,8,0.040885,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,"We investigate whether acoustic emotion recognition models can serve as proxies for the Pathos dimension in political speech analysis, as operationalised by the TRUST multi-agent large language model (LLM) pipeline.",https://arxiv.org/abs/2605.22732,21 May 2026,,
